title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName,applyType
No experience necessary! Energetic staff wanted! + Bonuses + Immediate start!,Surge Direct,No experience necessary! Energetic staff wanted! + Bonuses + Immediate start!,https://www.seek.co.nz/job/82641660?type=standard&ref=search-standalone&origin=cardTitle#sol=1a165c392e61bfe19cda0f8be17aabe0d01c6002,4d ago,,,Auckland CBD,Auckland,$23.2500 - $25.3k p.h.,2025-03-13,,,Quick Apply
Trainee Customs Officers - Auckland,New Zealand Customs Service,"Want interesting career progression opportunities, professional development and training?",https://www.seek.co.nz/job/82738944?type=standard&ref=search-standalone&origin=cardTitle#sol=ad3cf40c255f3df0abad7948c02c5230b3366b52,20h ago,,,Auckland CBD,Auckland,$23.50 – $25 per hour,2025-03-13,,,Apply
"Casual Retail Assistant | Ponsonby Store",AS Colour,"Flexible schedules, staff discounts, and growth opportunities - join our thriving retail team in Auckland.",https://www.seek.co.nz/job/82566702?type=standard&ref=search-standalone&origin=cardTitle#sol=53de77af61d17e6222c82bf721eafd66f5d0cac8,7d ago,,,Auckland CBD,Auckland,$32.40 per hour,2025-03-13,,,Quick Apply
Team Member - KFC New Lynn,Restaurant Brands Ltd,Join us here at KFC in either a part time or full-time role. Make new friends and earn some cash with a free KFC meal on shift.,https://www.seek.co.nz/job/82501462?type=standard&ref=search-standalone&origin=cardTitle#sol=d0928cb1fa65b88b9e1cf12a78738469a6f7bd08,9d ago,,,Auckland CBD,Auckland,$23 - $25,2025-03-13,,,Apply
"Calling from home, easiest Call work, 30 - 50 per hr no selling. no surveys",Sales Fit Limited,"Work from home, It’s the easiest Call center out there, no selling, no surveys. Primarily Real estate sector, rural and service brand representation.",https://www.seek.co.nz/job/82505000?type=standard&ref=search-standalone&origin=cardTitle#sol=7743aa1d73e74cb550d5c3b621d05e500dc925a8,9d ago,,,Auckland CBD,Auckland,$25 – $27 per hour,2025-03-13,,,Quick Apply
Store Assistant - West City,TANK Juice,Join our team as a Store Assistant at Tank's West City location!,https://www.seek.co.nz/job/82529323?type=standard&ref=search-standalone&origin=cardTitle#sol=924e8e5a33ae6e62c1c5fc27e7ce708d32e9d3b0,8d ago,,,Auckland CBD,Auckland,$23.2500 - $25.3k p.h.,2025-03-13,,,Quick Apply
"Part Time Sales Associate, Max Sylvia Park",Max Fashions,We have an opportunity for a high performing retail star to move into the role of Sales Associate at our flagship Sylvia Park store.,https://www.seek.co.nz/job/82639828?type=standard&ref=search-standalone&origin=cardTitle#sol=784dc26d0be281b014e5b44b7b7d6bdf34cea94f,4d ago,,,Auckland CBD,Auckland,$24 - $26 (AUD),2025-03-13,,,Quick Apply
Now Hiring Class 4 Bus Drivers,Tranzit Group,We are hiring Drivers NOW for our new Westgate Service. Exciting times to be a part of something great.,https://www.seek.co.nz/job/79903452?type=standard&ref=search-standalone&origin=cardTitle#sol=29f05e955af46535edbe0545add10373cca57c4f,7d ago,,,Auckland CBD,Auckland,$27 – $30 per hour,2025-03-13,,,Quick Apply
Checkout Operator,New World,Are you passionate about providing an excellent Customer Experience? You have great attention to detail and can work to deadlines? Here is more...,https://www.seek.co.nz/job/82469150?type=standard&ref=search-standalone&origin=cardTitle#sol=ab0224ff9584332a4f35e7a4bdb493ad194f12de,10d ago,,,Auckland CBD,Auckland,$32 per hour,2025-03-13,,,Apply
Retail Sales Person,Huffer,Huffer is on the hunt for retail superstars to exceed sales in our Onehunga store.,https://www.seek.co.nz/job/82485656?type=standard&ref=search-standalone&origin=cardTitle#sol=a50de00205a572756202078f06b900af90aea80f,10d ago,,,Auckland CBD,Auckland,Competitive compensation + potential bonus,2025-03-13,,,Quick Apply
"Strong, Fit Team Members wanted for regular shift work",Function Staff,"Regular shifts available for physically fit staff on an ongoing basis at airports, supermarkets, and warehouses.",https://www.seek.co.nz/job/82741186?type=standard&ref=search-standalone&origin=cardTitle#sol=c7f23a71cf673546b1710e61a081a78cc0667c85,19h ago,,,Auckland CBD,Auckland,$23 - $24,2025-03-13,,,Quick Apply
Customer Service Banker,BNZ,We have several opportunities for entry level bankers to join our Customer Connections Hub starting in May 2025!,https://www.seek.co.nz/job/82600881?type=standard&ref=search-standalone&origin=cardTitle#sol=d0aa8407f2c31f7b2b00f5033f60722fb2f8f5b6,6d ago,,,Auckland CBD,Auckland,$24 – $27 per hour,2025-03-13,,,Apply
Junior Office Assistant - Entry Level,AlexanderDorrington Lawyers,"Join our team as a Junior Office Assistant. Receiving training and guidance, excel in your job and work with great people.",https://www.seek.co.nz/job/82337407?type=standard&ref=search-standalone&origin=cardTitle#sol=afb5b1753f705f05138a86f7a096fea4c6d08c8e,16d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Quick Apply
Team Member - KFC Pakuranga,Restaurant Brands Ltd,Join us here at KFC in either a part time or full-time role. Make new friends and earn some cash with a free KFC meal on shift.,https://www.seek.co.nz/job/82729542?type=standard&ref=search-standalone&origin=cardTitle#sol=dd8a58d636e48601e25937098b13ad2aca929b4e,1d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Apply
Full Time Pick packers ( Night shift),Gilmours Wholesale Food & Beverage,Exciting opportunity to join our growing Service department,https://www.seek.co.nz/job/82475398?type=standard&ref=search-standalone&origin=cardTitle#sol=2ada9bc39f306242e5a4bd8335b2a952a09a9403,10d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Apply
Cleaner - Casual Positions,Clear Protect Group Ltd,"Be part of Clear Protect Group's journey to create safer, healthier environments for businesses throughout New Zealand.",https://www.seek.co.nz/job/82495667?type=standard&ref=search-standalone&origin=cardTitle#sol=caa5501745f126b27ceac4f281e49752e6d23ddc,9d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Quick Apply
Office assistant,Endometriosis Ascot,Specialist medical practice,https://www.seek.co.nz/job/82285878?type=standard&ref=search-standalone&origin=cardTitle#sol=790dbe9deba2e45cf040f48ae1aab037878db450,18d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Quick Apply
Bracelet Maker (Watch Netflix and Earn),Arrowtown Stonework,"Earn money braiding pounamu bracelets from home! Flexible hours, full training provided. Regular pickups/drop-offs required in Arrowtown, NZ.",https://www.seek.co.nz/job/82708948?type=standard&ref=search-standalone&origin=cardTitle#sol=f086e1d9c8f395fc09a78c8942444a0294481129,1d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Quick Apply
Warehouse & Customer Service Assistant - West Auckland,Anzor Fasteners,"Learn the art of warehousing, customer service, and the mechanical properties of stainless steel fasteners in our great supportive West Auckland team",https://www.seek.co.nz/job/82498018?type=standard&ref=search-standalone&origin=cardTitle#sol=f845e564d4bb567f76ff2aaad1f38d59cb33b837,9d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Apply
Cafe Staff,Chocolate Boutique,"customer service experience, weekend availability is essential. Job includes preparing food and desserts. must reside in Auckland.",https://www.seek.co.nz/job/82458254?type=standard&ref=search-standalone&origin=cardTitle#sol=492965994b3dd8ba45504ecb99813253a627aef0,12d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Quick Apply
Online Casuals,New World,Have previous pick/packing experience? Able to stay on top of deadlines and meet targets? Here is more on this role...,https://www.seek.co.nz/job/82469285?type=standard&ref=search-standalone&origin=cardTitle#sol=7f9c290c6dd14107c9b1b6b64bf1ef02d5038b7d,10d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Apply
"Warehouse Assistant, no experience necessary",,"Are you good with numbers? Pick, pack, replenish stock & devann containers. Full training provided. 40hrs over 4 days. Apply now!",https://www.seek.co.nz/job/82642980?type=standard&ref=search-standalone&origin=cardTitle#sol=b51ab4d4efb5b81ac281222f47526887b0fea20e,3d ago,,,Auckland CBD,Auckland,,2025-03-13,,,Quick Apply
Buys & Pawns Assistant,Cash Converters Hamilton,"Looking for a dynamic retail job like no other? Check out Cash Converters. We Buy/Sell great products, unlocking the value of quality secondhand goods",https://www.seek.co.nz/job/82361353?type=standard&ref=search-standalone&origin=cardTitle#sol=68e843cfe6b6ad10ae16baee6201411fa5b80e35,16d ago,,,Hamilton Central,Waikato,$24 – $26 per hour,2025-03-13,,,Quick Apply
Machine Line Operator,People Ninjas,AVAILABLE NOW! Were looking for Machine Operators to join our clients team immediately!,https://www.seek.co.nz/job/82079541?type=promoted&ref=search-standalone&origin=cardTitle#sol=51cc0fdd091263197c5b4f4c64089c86d873f775,24d ago,,,Hamilton Central,Waikato,$27 – $29 per hour,2025-03-13,,,Quick Apply
Medical Secretary / Personal Assistant,Ascot Central Women's Clinic,"Medical Secretary/Personal Assistant for a Women's Health Clinic based in Remuera/Greenlane, offering very competitive remuneration rates",https://www.seek.co.nz/job/82118007?type=standard&ref=search-standalone&origin=cardTitle#sol=2d62af516d61b7390edc575c19228d2d7a6e130b,15d ago,,,Hamilton Central,Waikato,$33 – $38 per hour,2025-03-13,,,Quick Apply
Customer Service Representative,Rhenus Logistics NZ Ltd,"We have a great opportunity for a highly motivated individual, where you will be part of an exciting and growing company. Apply today!",https://www.seek.co.nz/job/82371132?type=standard&ref=search-standalone&origin=cardTitle#sol=9b002efdd5888420dab7ef8055cee25c1eb86963,21d ago,,,Hamilton Central,Waikato,"From $55,000 per year depending on experience",2025-03-13,,,Quick Apply
Warehouse Storeperson,Viking Group Limited,"Located in Otara, Auckland, we have an exciting opportunity for a motivated and driven Storeperson to join our growing and friendly warehouse team.",https://www.seek.co.nz/job/82244328?type=standard&ref=search-standalone&origin=cardTitle#sol=d52c7941c51a6e722a0437f3c9e88431478dd4a8,21d ago,,,Hamilton Central,Waikato,$23 – $25 per hour,2025-03-13,,,Quick Apply
Reception / Administrator,Ladstone Holdings Limited,"Busy, dynamic office seeks personable receptionist/admin assistant to provide exceptional customer service and support.",https://www.seek.co.nz/job/82245707?type=standard&ref=search-standalone&origin=cardTitle#sol=153940dfd1ba5174cc546bb42a833d67f6630e91,23d ago,,,Hamilton Central,Waikato,"$78,801 – $116,894 per year (AUD)",2025-03-13,,,Quick Apply
Holiday Park - Reception Team,Wellington TOP 10 Holiday Park,We have an exciting opportunity available for an individual with a passion for customer service to join our team.,https://www.seek.co.nz/job/82153227?type=standard&ref=search-standalone&origin=cardTitle#sol=de1f6070ebddb9e85c46a1782f34668f03533c4f,17d ago,,,Hamilton Central,Waikato,$25 – $30 per hour,2025-03-13,,,Quick Apply
Classroom Teachers - Relocate to VIC,Department of Education,"Move to Victoria, for a vibrant education sector, supportive schools, diverse communities, and a mix of city and regional teaching experiences.",https://www.seek.co.nz/job/82293337?type=standard&ref=search-standalone&origin=cardTitle#sol=00ab8228a7b10c0344fa9850f90404233bfd1bc0,12d ago,,,Hamilton Central,Waikato,$23 - $24,2025-03-13,,,Apply
Cafe Staff,Chocolate Boutique,"customer service experience, weekend availability is essential. Job includes preparing food and desserts. must reside in Auckland.",https://www.seek.co.nz/job/82458254?type=standard&ref=search-standalone&origin=cardTitle#sol=6c9a5cc01b252907d8b55c09dd55e5d8dae5b4bd,10d ago,,,Hamilton Central,Waikato,$25 – $30 per hour,2025-03-13,,,Quick Apply
Dental Receptionist/Dental Assistant,Dental Care Limited,"The role involves providing patient care, performing reception duties, and preparing equipment for dental procedures.",https://www.seek.co.nz/job/82475528?type=standard&ref=search-standalone&origin=cardTitle#sol=279787c9614697ff2a986b64ec4d76dd3a56ec28,10d ago,,,Hamilton Central,Waikato,"Base Wage + Commission ($65,000- $95,000 OTE)",2025-03-13,,,Quick Apply
Primary Care Practice Health Assistant,Auckland Family Medical Centre,This role is critical to the smooth day to day operation of our clinic,https://www.seek.co.nz/job/82463507?type=standard&ref=search-standalone&origin=cardTitle#sol=7e85d8a15132573ea21aee1c04f63a3ec25519d6,10d ago,,,Hamilton Central,Waikato,$26 – $30 per hour,2025-03-13,,,Quick Apply
Online Casuals,New World,Have previous pick/packing experience? Able to stay on top of deadlines and meet targets? Here is more on this role...,https://www.seek.co.nz/job/82469285?type=standard&ref=search-standalone&origin=cardTitle#sol=db2dc61223c39e9c45cb394f15929aca56d2781f,3d ago,,,Hamilton Central,Waikato,$32.40 per hour,2025-03-13,,,Apply
Delivery Driver & Warehouse Support,Computaleta,"Join Computaleta as a Delivery Driver! Play a key role in our business, make an impact, and be appreciated for your hard work.",https://www.seek.co.nz/job/82667065?type=standard&ref=search-standalone&origin=cardTitle#sol=743c186414fe0a93c0735ce1f0aa5e58c0eb4db3,19h ago,,,Hamilton Central,Waikato,$23 - $25,2025-03-13,,,Quick Apply
