title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName
IT Systems Engineer,OneCall,Seeking a skilled IT Systems Engineer in Tauranga. MSP experience required. Strong M365 & Windows support expertise. Package includes car + phone.,https://www.seek.co.nz/job/82187697?type=standard&ref=search-standalone&origin=cardTitle#sol=5dc838e41b2f07ce2d6a353b8c7c29040a0ace6b,22d ago,,,,,"$65,000 – $85,000 per year",13/03/2025,,Bay-of-Plenty
Digital Marketing Expert,Chuffed Gifts,"We need a Digital Marketing Expert to lead content creation, manage campaigns, and drive growth for a brand that is changing gifting in New Zealand.",https://www.seek.co.nz/job/82393490?type=standard&ref=search-standalone&origin=cardTitle#sol=48a9ec93b9fbdbcc6e7cfd05c2c3084dc73ae6c2,14d ago,,,,,"$50,000 – $60,000 per year",13/03/2025,,Bay-of-Plenty
R&D Operations Manager,Syos Aerospace Limited,Join Syos today and play a vital role in developing groundbreaking unmanned systems,https://www.seek.co.nz/job/82718665?type=standard&ref=search-standalone&origin=cardTitle#sol=373ff6c78aded30913a51defaffb8df586fa1383,1d ago,,,,,Competitive salary plus life and medical insurance,13/03/2025,,Bay-of-Plenty
Mobile PC Technician and Consultant,Geeks on Wheels,Increase your IT knowledge on-the-job!,https://www.seek.co.nz/job/82335112?type=standard&ref=search-standalone&origin=cardTitle#sol=1a6888f62b5200619954d2bc0594251f08d22588,16d ago,,,,,Competitive Pay + Penal Rates!,13/03/2025,,Bay-of-Plenty
GIS - Asset Data Technician,Powerco,"If you thrive in the upkeep of information and playing a role in keeping our customers safe, join us in our Asset information team.",https://www.seek.co.nz/job/82466297?type=standard&ref=search-standalone&origin=cardTitle#sol=35fc869b15ead1659a19816e97691d94b6f53dad,11d ago,,,,,"$65,000 – $80,000 per year",13/03/2025,,Bay-of-Plenty
Mid Level Graphic Designer & Digital Marketing Specialist,TREN Ltd,We’re seeking a Mid Level Graphic Designer & Digital Specialist to join our fast-paced real estate team in Tauranga.,https://www.seek.co.nz/job/82529087?type=standard&ref=search-standalone&origin=cardTitle#sol=b3dd5ed6add6bffaf01273aa77bb02b281d65547,8d ago,,,,,$120 – $150 per hour,13/03/2025,,Bay-of-Plenty
General Manager,Komatsu Forest New Zealand Ltd,Lead an innovative forestry equipment provider and drive profitable growth. Competitive salary package with fully maintained company vehicle.,https://www.seek.co.nz/job/82246342?type=standard&ref=search-standalone&origin=cardTitle#sol=c1539d2ef57ef6bd0413619889704726dcd39070,20d ago,,,,,"$90,000 – $100,000 per year",13/03/2025,,Bay-of-Plenty
Chief Financial Officer,Robert Walters,"Genera is an innovative, family-owned business and the market leader in sustainable biosecurity solutions across New Zealand and Australia.",https://www.seek.co.nz/job/82433716?type=standard&ref=search-standalone&origin=cardTitle#sol=7eac653fe15008d851e486375401bce98f7a0dc0,13d ago,,,,,"$90,000 – $130,000 per year",13/03/2025,,Bay-of-Plenty
Asphalt QA Technician,DOWNER NZ,Our Tauranga branch is looking for a critical thinker with an eye for detail and a passion for quality asphalt activities? Full Time Opportunity!,https://www.seek.co.nz/job/82180973?type=standard&ref=search-standalone&origin=cardTitle#sol=67063c3c3b34215a4eb72e1a86e610e2819242d8,23d ago,,,,,,13/03/2025,,Bay-of-Plenty
Field Technician,Awesome Technology Ltd,We are seeking a skilled and reliable Field Technician to join our team.,https://www.seek.co.nz/job/82674625?type=standard&ref=search-standalone&origin=cardTitle#sol=6452821ce04f7de9079f091170b7cab3686eb96a,2d ago,,,,,,13/03/2025,,Bay-of-Plenty
