title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName,applyType
Mobile PC Technician and Consultant,Geeks on Wheels,Increase your IT knowledge on-the-job!,https://www.seek.co.nz/job/82335112?type=promoted&ref=search-standalone&origin=cardTitle#sol=4244b3a16fc785f9f01b706acd0c620de14a1ea4,22d ago,,,,,"$50,000 – $60,000 per year",2025-03-13,,Bay-of-Plenty,Quick Apply
R&D Operations Manager,Syos Aerospace Limited,Join Syos today and play a vital role in developing groundbreaking unmanned systems,https://www.seek.co.nz/job/82718665?type=promoted&ref=search-standalone&origin=cardTitle#sol=b31658498a51413b7f95f487d128a4c6fca03066,2d ago,,,,,"$65,000 – $80,000 per year",2025-03-13,,Bay-of-Plenty,Quick Apply
IT Systems Engineer,OneCall,Seeking a skilled IT Systems Engineer in Tauranga. MSP experience required. Strong M365 & Windows support expertise. Package includes car + phone.,https://www.seek.co.nz/job/82187697?type=standard&ref=search-standalone&origin=cardTitle#sol=d18ca1ea67707d152f4e4b29ac15fa4d692b2fe5,7d ago,,,,,"$65,000 – $85,000 per year",2025-03-13,,Bay-of-Plenty,Quick Apply
Field Technician,Awesome Technology Ltd,We are seeking a skilled and reliable Field Technician to join our team.,https://www.seek.co.nz/job/82674625?type=standard&ref=search-standalone&origin=cardTitle#sol=7ed9ad1bb7f6eb709a4b6aaa9dcd6cdaee6baf85,15d ago,,,,,"$60,000 – $75,000 per year",2025-03-13,,Bay-of-Plenty,Quick Apply
IT Manager,Comvita,"Contribute to IT initiatives that support a global brand, committed to environmental and social responsibility.",https://www.seek.co.nz/job/82562401?type=standard&ref=search-standalone&origin=cardTitle#sol=02efd32c67abc3542723f293efcf2359e5cd051e,10d ago,,,,,"$50,000 – $60,000 per year",2025-03-13,,Bay-of-Plenty,Apply
Digital Marketing Expert,Chuffed Gifts,"We need a Digital Marketing Expert to lead content creation, manage campaigns, and drive growth for a brand that is changing gifting in New Zealand.",https://www.seek.co.nz/job/82393490?type=standard&ref=search-standalone&origin=cardTitle#sol=81e1f8d1ce73c4f516deff60e8993459847f4520,17d ago,,,,,Competitive salary plus life and medical insurance,2025-03-13,,Bay-of-Plenty,Quick Apply
Desktop Support Engineer,OmniNet Ltd,Are you looking for more in IT? Join an innovative and collaborative IT company working with long standing customers across New Zealand. Read more,https://www.seek.co.nz/job/82492708?type=standard&ref=search-standalone&origin=cardTitle#sol=3e280703ffe7932a837e4f960f9c802a1f842abb,6d ago,,,,,,2025-03-13,,Bay-of-Plenty,Quick Apply
Customer Support Specialist,SwipedOn Ltd,"Awesome opportunity providing support and delivering an outstanding customer experience, ensuring our customers receive a world-class experience.",https://www.seek.co.nz/job/82290460?type=standard&ref=search-standalone&origin=cardTitle#sol=21db4b611ed28fbead01121e965f0961562f94fe,10d ago,,,,,,2025-03-13,,Bay-of-Plenty,Quick Apply
TV/AV & IT Installation Technician - Noel Leeming Rotorua,Noel Leeming,Get out on the road while working with an iconic brand!,https://www.seek.co.nz/job/82596556?type=standard&ref=search-standalone&origin=cardTitle#sol=f6994c0fb6ec6320d94278d2b47269fd81be3495,23d ago,,,,,,2025-03-13,,Bay-of-Plenty,Apply
L1/L2 Desktop Support Engineer (6-month Contract - Possible Extension)),CTRL Ltd,We're seeking a motivated and detail-oriented L1/L2 Desktop Support Engineer to join our team in Tauranga on a 6-month contract.,https://www.seek.co.nz/job/82468269?type=standard&ref=search-standalone&origin=cardTitle#sol=7bf794558f113cd44bfe51936e6d105f5e48dc4b,21d ago,,,,,,2025-03-13,,Bay-of-Plenty,Quick Apply
Data Analyst,Te Tāwharau o Te Whakatōhea,"Data drives our decisions. Unlock insights, drive impact! Join our team as a Data Analyst and transform data into actionable strategies.",https://www.seek.co.nz/job/82143150?type=standard&ref=search-standalone&origin=cardTitle#sol=bb6fe9b16affb85f680b5bc5b3620b5b1eb35c8c,1d ago,,,,,,2025-03-13,,Bay-of-Plenty,Quick Apply
