title,company,description,link,listedOn,email,phone,city,region,salary,runDate
National IT Systems Manager,Brannigans Consulting Limited,Dynamic and challenging with leading NZ nursery operation,https://www.seek.co.nz/job/77231046?type=promoted&ref=search-standalone&origin=cardTitle#sol=80bd2ecfefb62a0fecc92364215355738604d89f,,,027 591 3422,Hamilton Central,Waikato,$120k - $130k p.a.,2024-07-14
National IT Systems Manager,Brannigans Consulting Limited,Dynamic and challenging with leading NZ nursery operation,https://www.seek.co.nz/job/77231046?type=standout&ref=search-standalone&origin=cardTitle#sol=5524c256ca536c3725452d2ff372b210237f0f1f,,,027 591 3422,Hamilton Central,Waikato,,2024-07-14
System Cloud Engineer,Christchurch Casinos Ltd,"We are seeking a passionate, professional, and experienced System/Cloud Engineer to join our team and contribute to the success of our organisation.",https://www.seek.co.nz/job/77238449?type=standout&ref=search-standalone&origin=cardTitle#sol=6f319eb1309ffc2a0ff546db74c2de6eb82376e5,,anton@christchurchcasino.co.nz,,Hamilton Central,Waikato,,2024-07-14
Technical Lead,HOBAN Recruitment,An exciting opportunity awaits an experienced System Technician - APPLY NOW!,https://www.seek.co.nz/job/77233488?type=standard&ref=search-standalone&origin=cardTitle#sol=4e052fbb43e58a396fba1d66c236695752e23af6,,adjustments@hoban.com.au,,Hamilton Central,Waikato,,2024-07-14
National IT Systems Manager,Brannigans Consulting Limited,Dynamic and challenging with leading NZ nursery operation,https://www.seek.co.nz/job/77231076?type=standout&ref=search-standalone&origin=cardTitle#sol=d586116eedc7b1eba2fb434b3aafe64737060570,,,027 591 3422,Hamilton Central,Waikato,,2024-07-14
"Data Analyst | Kaitātari Raraunga",Te Tāhū Hauora Health Quality & Safety Commission,Work closely with stakeholders to develop reliable measures. Your analysis influences policy with clear data insights and visualisations.,https://www.seek.co.nz/job/77233261?type=standout&ref=search-standalone&origin=cardTitle#sol=a94b164f961cd05864bfb4de43210a981b4b185f,,people@hqsc.govt.nz,,Hamilton Central,Waikato,,2024-07-14
Operations Manager - Atlassian Solutions Provider,JOYN,"Work remotely, implement outstanding operations and service delivery management. Optimise internal processes to provide excellent SaaS solutions.",https://www.seek.co.nz/job/77237355?type=standout&ref=search-standalone&origin=cardTitle#sol=b8e67f9011f6203d2a9fe349982fe70be64cdd3d,,ashley.sadler@joyn.co.nz,,Hamilton Central,Waikato,,2024-07-14
Cloud Programme Manager,Find IT Recruitment,We are on the hunt for an experienced IT Programme Manager to join an exciting mid-flight Cloud transition programme on a 2-Year Fixed Term assignment,https://www.seek.co.nz/job/77236682?type=standout&ref=search-standalone&origin=cardTitle#sol=87e2db9839dc3f0756ca0715055a01761e99b34c,,normaan.mohammed@findrecruitment.co.nz,,Penrose,Auckland,Deliver software projects across multiple teams!,2024-07-14
Technical Analyst,Expert360,We are seeking a Technical Analyst who is experienced in data and integration of interfaces,https://www.seek.co.nz/job/77241210?type=standout&ref=search-standalone&origin=cardTitle#sol=cceb1b74a85bef1238f991e946a85e9c6f9afa13,,leilana@expert360.co.nz,,Penrose,Auckland,,2024-07-14
Senior IT Project Manager - Te Pae Tawhiti - Service Experience IST,Ministry of Social Development,"Senior IT Project Manager – Te Pae Tawhiti, Kotahitanga Improvement, Systems and Technology",https://www.seek.co.nz/job/77231155?type=standout&ref=search-standalone&origin=cardTitle#sol=abafd64776965bd2c4a05c0640bc51c63bdb2993,,jobs@msd.govt.nz,,Penrose,Auckland,,2024-07-14
