title,company,description,link,listedOn,email,phone,city,region,salary,runDate
IT Support Engineer,Slade Group,"Due to growth, our client is looking for a L1/L2 IT Support Engineer to join the team.",https://www.seek.com.au/job/77643241?type=standout&ref=search-standalone&origin=cardTitle#sol=e90257041992561f8040fc9adfe503bb41653447,,brivera@synchropartners.com.au,,Fortitude Valley,Brisbane QLD,"Salary range $149,686- $202,422 plus super",2024-07-29
IT Support Analyst,BLACKROC,Unique opportunity to build out your skill-set with a market leader in their industry.,https://www.seek.com.au/job/77635680?type=standout&ref=search-standalone&origin=cardTitle#sol=5a4642221c75b6bfc72ce51a5474ac0666b1162b,,matthew.walsh@blackroc.co,,Fortitude Valley,Brisbane QLD,"$90,000 – $95,000 per year",2024-07-29
Business Systems Administrator,CoAct,"Join our dynamic team overseeing CoAct’s systems, solving issues, and driving improvements. Part-time role.",https://www.seek.com.au/job/77649952?type=standout&ref=search-standalone&origin=cardTitle#sol=e44ef4da9860f2e3f46d8c04fbe4d459633fd11c,,recruitment@coact.org.au,,Fortitude Valley,Brisbane QLD,"$75,000 – $85,000 per year",2024-07-29
Infrastructure Engineer (Cloud & Datacentre),GMHBA,We have an opening for an Infrastructure Engineer (Cloud & Datacentre) to join our team in Geelong.,https://www.seek.com.au/job/77636968?type=promoted&ref=search-standalone&origin=cardTitle#sol=40eff9f868623f550bda3ffedfb6a092a280423e,,careers@gmhba.com.au,,Geelong,South West Coast VIC,"$84,111 – $90,820 per year",2024-07-29
IT Systems Support Analyst,City of Subiaco,"The City of Subiaco is recruiting for an IT Systems Support Analyst on a fixed term, full -time basis to join their Information Services branch.",https://www.seek.com.au/job/77602621?type=standout&ref=search-standalone&origin=cardTitle#sol=a324e47ac3d04c427b404c1835765e6d61ecb297,,recruitment@subiaco.wa.gov.au,,Geelong,South West Coast VIC,,2024-07-29
Technical Specialist,Kinetic IT,Exciting opportunity for a Technical Specialist working across MS Azure Cloud to join the team,https://www.seek.com.au/job/77608094?type=standout&ref=search-standalone&origin=cardTitle#sol=fb9361b0bf0cea6e70248b193fed894eef48a513,,careers@kineticit.com.au,,Geelong,South West Coast VIC,,2024-07-29
Infrastructure Engineer (Cloud & Datacentre),GMHBA,We have an opening for an Infrastructure Engineer (Cloud & Datacentre) to join our team in Geelong.,https://www.seek.com.au/job/77636968?type=promoted&ref=search-standalone&origin=cardTitle#sol=dec5fd329c52703664fa5e37dc063c1111db9d82,,careers@gmhba.com.au,,Geelong,South West Coast VIC,"$60,000 – $80,000 per year base plus commission",2024-07-29
Infrastructure Engineer (Cloud & Datacentre),GMHBA,We have an opening for an Infrastructure Engineer (Cloud & Datacentre) to join our team in Geelong.,https://www.seek.com.au/job/77636968?type=standout&ref=search-standalone&origin=cardTitle#sol=04491ccca3c64cc5495d1251fa80e66ed44e128b,,careers@gmhba.com.au,,Geelong,South West Coast VIC,$110581 - $122420 p.a. + 17% SUPER,2024-07-29
APS5 Junior Program Support Officer - Change and Release,Department of Home Affairs,We are seeking Junior Program Support Officer at an APS5 level to fill a position in Cargo and Trade Systems Section within ICT Division.,https://www.seek.com.au/job/77635223?type=standout&ref=search-standalone&origin=cardTitle#sol=243902a26bf2f634818996a4d785f45c76ed239f,,recruitment@homeaffairs.gov.au,,Geelong,South West Coast VIC,Subsidised health insurance + stock discounts,2024-07-29
IT Systems Support Analyst,City of Subiaco,"The City of Subiaco is recruiting for an IT Systems Support Analyst on a fixed term, full -time basis to join their Information Services branch.",https://www.seek.com.au/job/77602621?type=standout&ref=search-standalone&origin=cardTitle#sol=bbcbef95a420cd69f9c9b5b5a41706a85d3abb84,,recruitment@subiaco.wa.gov.au,,Geelong,South West Coast VIC,,2024-07-29
IT Support,The Network,Are you a Level 1/2 Helpdesk Analyst? Join an ASX listed company with stunning Opera House views. Contact us today for this rare permanent opportunity,https://www.seek.com.au/job/77601495?type=standard&ref=search-standalone&origin=cardTitle#sol=d522eb539d969f9f5aed87b66ef37a4bc08346d9,,sineadd@thenetworkit.com,,Geelong,South West Coast VIC,,2024-07-29
Senior IT Digital Workplace Specialist,Flinders University,Provide technical specialisation and leadership across the Microsoft 365 platform within the Digital Workplace team at Flinders University.,https://www.seek.com.au/job/77635746?type=standout&ref=search-standalone&origin=cardTitle#sol=d0b45bc8aa75199b5da6c7c4c3a4d3a3c2912d5c,,,0000011349,Geelong,South West Coast VIC,,2024-07-29
IT Service Cost Recovery Analyst,NSW Department of Customer Service,The Department of Customer Service is looking for an experienced IT Service Cost & Recovery Analyst to join there team. WFH/Hybrid options,https://www.seek.com.au/job/77648654?type=standard&ref=search-standalone&origin=cardTitle#sol=2be508d22308f3a49ca4aa3f8d062f4dd36e3e2f,,nicole.turner@customerservice.nsw.gov.au,,Geelong,South West Coast VIC,,2024-07-29
IT Desktop Engineer,Estia Health,"This role is responsible for the preparation and maintenance of Estia Health’s fleet of desktops, laptops, mobile phones, and other end user devices.",https://www.seek.com.au/job/77590321?type=standout&ref=search-standalone&origin=cardTitle#sol=8a77753cb3f6ad1755ac1a89dc87e927b7ba6172,,katrina.maurer@estiahealth.com.au,,Geelong,South West Coast VIC,,2024-07-29
Level 2 Desktop Support Engineer,Entain Group PTY LTD,"At Entain Australia and New Zealand, we don't just play the game; we redefine it through cutting-edge technology.",https://www.seek.com.au/job/77602904?type=standout&ref=search-standalone&origin=cardTitle#sol=3e442052420e7a5d431b6a7cb5f527e4f99fbbb5,,careers@entaingroup.com.au,,Artarmon,Sydney NSW,$100 - $120 p.h. + Transparent Fee Structure,2024-07-29
Junior Security Administrator,Australian Financial Complaints Authority Limited,Play a vital part in ensuring the security practices of AFCA's infrastructure align with best practices and regulatory requirements.,https://www.seek.com.au/job/77598502?type=standout&ref=search-standalone&origin=cardTitle#sol=84aff2cd42f6524c30960c2d25390da73d1e0233,,Careers@afca.org.au,,Artarmon,Sydney NSW,"$140,000 – $160,000 p.a. + super + bonus",2024-07-29
