title,company,description,link,listedOn,email,phone,city,region,salary,runDate
Chief Financial Officer,LG Services Group,Are you a dynamic financial leader ready to make a significant impact in a thriving community?,https://www.seek.co.nz/job/75720937?type=promoted&ref=search-standalone&origin=cardTitle#sol=a9172c130e687f4132e57fe8e281c4d84bf56ad1,,helen@lgsg.au,,Auckland CBD,Auckland,"$160,000 – $170,000 - subsidised rental avaliable (AUD)",2024-05-09
Chief Financial Officer,LG Services Group,Are you a dynamic financial leader ready to make a significant impact in a thriving community?,https://www.seek.co.nz/job/75720937?type=standout&ref=search-standalone&origin=cardTitle#sol=6c349316f59b940aa9f791d9bd38027296e78d91,,helen@lgsg.au,,Auckland CBD,Auckland,$35.00 - $45.00 p.h.,2024-05-09
"Service Desk Analyst | CONTRACT",Robert Half Technology,"Bring your passion for supporting users with all matter of technical issues in this 5-month contract in the CBD, long term extensions possible.",https://www.seek.co.nz/job/75711934?type=standard&ref=search-standalone&origin=cardTitle#sol=7524faa40105f709c4e44e92658de85641ba129f,,,900-0012974,Auckland CBD,Auckland,"$70,000 – $90,000 per year",2024-05-09
Finance Analyst,Alexander James Limited,My client are looking for an experienced finance analyst to join their team. opportunity to be a key business partner to their regional operations,https://www.seek.co.nz/job/75718105?type=standout&ref=search-standalone&origin=cardTitle#sol=db4c133ef2d4d60d6420871c83fb25d997d8dae7,,aaron.r@alexanderjames.co.nz,0221713365,Auckland CBD,Auckland,"Salary range is from $74,000 to $90,000 per annum",2024-05-09
Assistant Accountant,Robert Half Finance & Accounting,US owned leading manufacturing business are looking for an experienced Assistant Accountant on a 3-month contract to cover holiday leave.,https://www.seek.co.nz/job/75713526?type=standard&ref=search-standalone&origin=cardTitle#sol=81746a584cae0111c1c4b7ba35784ba93df02a9a,,,900-0012973,Auckland CBD,Auckland,$33-$37 per hour + hol pay + 2 WFH days,2024-05-09
Production Shift Manager,Tribe (New Zealand) Limited,"Great company culture, supportive team and the opportunity to work for an industry leader striving for growth…Apply today!",https://www.seek.co.nz/job/75720146?type=standout&ref=search-standalone&origin=cardTitle#sol=2f772959acf855000e5605d1fd70ead30e01764d,,,027 2964379,Auckland CBD,Auckland,,2024-05-09
Commercial Property Administrator,Assemble,Stride Property are looking for a commercial property administrator to join their internal finance team in Auckland.,https://www.seek.co.nz/job/75723550?type=standout&ref=search-standalone&origin=cardTitle#sol=17f00b7c7d50a8ae80b71a695623ed27485e20ce,,,027 274 6829,Auckland CBD,Auckland,,2024-05-09
Finance Analyst,Hunter Campbell Limited,Finance Analyst providing timely commercial insights to help drive the business forward,https://www.seek.co.nz/job/75715026?type=standout&ref=search-standalone&origin=cardTitle#sol=4075021bb0005fbef988f3c9fbcbd786f4d727ae,,carolinel@huntercampbell.co.nz,021 240 9748,Auckland CBD,Auckland,,2024-05-09
GROUP FINANCIAL CONTROLLER,Seqel Limited,• NZX/ASX listed entity • Multi-site market leader • Auckland based,https://www.seek.co.nz/job/75717419?type=standout&ref=search-standalone&origin=cardTitle#sol=39f4dccf6ac25be74baba86a667f64ddb566972c,,cv@seqelpartners.com,,Auckland CBD,Auckland,,2024-05-09
Accounts Payable,Recruitment Expert,Senior Accounts Payable + SAP + North Shore + 2 WFH days + Iconic brand + Flexibility + fast-paced stimulating role + approx 2 months +,https://www.seek.co.nz/job/75721477?type=standout&ref=search-standalone&origin=cardTitle#sol=369d3b0d8f7dfe578f91f95334f726b87881b954,,kelly@cultivate.co.nz,,Auckland CBD,Auckland,,2024-05-09
