title,company,description,link,listedOn
"Farm Worker - (Horses)","Ramahiku River Bend LTD","Good farm to work on.. Easy hours of work, Transport provided if needed.. Bonuses and good time off..","https://www.seek.co.nz/job/71761323?type=promoted&ref=search-standalone#sol=b24ec327577e99969eae85fcbd4e29ba1b1684c9","2023-11-20T07:30:04.537Z"
"Sous Chef","Honest Kitchen Limited","Our key success is our quality food produced by our quality chefs. This is a unique role offering full time hours Monday to Friday with no nights.","https://www.seek.co.nz/job/71631954?type=promoted&ref=search-standalone#sol=796a5679ceebd6354c08714d49e57ca1fe6103d2","2023-11-23T07:30:04.537Z"
"Office Administration","Take it Easy Tours","Do you love travel? Join our team and be a part of creating amazing experiences and lifelong memories for our travellers.","https://www.seek.co.nz/job/71601732?type=standard&ref=search-standalone#sol=f52527676d63104615d970abc33fc5863dcc3f9e","2023-11-24T07:30:04.537Z"
"Retail Assistant","RMP Traders Ltd.","If you like a busy environment and variety in your day and if you love to help people this job might be for you!","https://www.seek.co.nz/job/71720086?type=standard&ref=search-standalone#sol=63b3174409a45dd6dea0163813b200b2591e4d58","2023-11-22T07:30:04.537Z"
"Farm Worker - (Horses)","Ramahiku River Bend LTD","Good farm to work on.. Easy hours of work, Transport provided if needed.. Bonuses and good time off..","https://www.seek.co.nz/job/71761323?type=standout&ref=search-standalone#sol=85e541a3e4322ee05a96783fc5f02e903390f801","2023-11-23T07:30:04.537Z"
"Optical Assistant","Wanganui Eyecare","Take on a meaningful role as an Optical Assistant, working as part of our friendly team to provide exceptional customer service!","https://www.seek.co.nz/job/71682874?type=standard&ref=search-standalone#sol=77ee440ee8ac58c96c5a7813201d0a0b6d605805","2023-11-23T07:30:04.537Z"
"Warehouse Store Person","Suzuki New Zealand Limited","We are looking for a person to join our supportive Suzuki warehouse team who will deliver strong levels of customer service by meeting parts needs.","https://www.seek.co.nz/job/71718852?type=standard&ref=search-standalone#sol=12085e40a9f2593be318db181a04c03b27662a84","2023-11-17T07:30:04.537Z"
"12x Business Services &amp; Tax and Audit Positions - Sydney - Up to $5k sign-on","Recruitment Expert","This is the best time in history to consider your career options and change jobs - candidates scoring $10k-$25k pay rises - talk to us today!","https://www.seek.co.nz/job/71709275?type=standard&ref=search-standalone#sol=f1f5f4fb241882db290b7ed57063327169176fae","2023-11-21T07:30:04.537Z"
"Customer Services Representative, Sector Operations","Te Whatu Ora - National Office","We are searching for dynamic people to join our Sector Operations team.","https://www.seek.co.nz/job/71593558?type=standout&ref=search-standalone#sol=e7281895751c6da3dd973891613f23fd12a4d3e1","2023-11-24T07:30:04.537Z"
"Library Assistant - Part Time","Whanganui District Council","If you are looking for a job that provides an outstanding service that people want, of which you can be proud, then this could be the position for you","https://www.seek.co.nz/job/71653396?type=standout&ref=search-standalone#sol=a91401389373c841b8b5efee629311a90832dd2f","2023-11-20T07:30:04.537Z"
"Economic Wellbeing Lead","Rangitikei District Council","Be on the ground providing valuable support and guidance to help businesses explore opportunities to become established or to expand in our district.","https://www.seek.co.nz/job/71744151?type=standout&ref=search-standalone#sol=3b000a8dfec982e91c6cb9092a5d513b4c1b9a9e","2023-11-22T07:30:04.537Z"
"Receptionist - Casual","Ryman Healthcare","Are you a caring and organised person who loves to support others? Jane Winstone Retirement Village, Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71633087?type=standout&ref=search-standalone#sol=83a1ddaa9341b2ca6461d2b225cab6e3808ab9b5","2023-11-23T07:30:04.537Z"
"Optical Assistant","Wanganui Eyecare","Take on a meaningful role as an Optical Assistant, working as part of our friendly team to provide exceptional customer service!","https://www.seek.co.nz/job/71682784?type=standout&ref=search-standalone#sol=be6e95f06d27349d20ba7a67f244ae306f635a74","2023-11-20T07:30:04.537Z"
"Teacher Aide","Whanganui Girls' College","Experienced Teacher Aide","https://www.seek.co.nz/job/71720896?type=standard&ref=search-standalone#sol=e6051a21b5e4638c62f7b416505d3a7553c7f173","2023-11-23T07:30:04.537Z"
"Van Driver - Casual","Ryman Healthcare","Are you a caring and supportive person looking for a rewarding opportunity? Jane Winstone Retirement Village in Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71631413?type=standout&ref=search-standalone#sol=1e463da6df9866b0b3377c1187952ef1ee750442","2023-11-15T07:30:04.537Z"
"Service Solution Specialist","Noel Leeming","Help our customers live better everyday by supporting them with their in home tech needs!","https://www.seek.co.nz/job/71717978?type=standout&ref=search-standalone#sol=1a6183e6a22de007ac45c166ec85193e06362c51","2023-11-24T07:30:04.537Z"
"Practice Administrator/PA","Rangitikei District Council","Looking for an experienced Practice Administrator/PA with suitable qualification for an expanding General Practice. Work with a friendly team.","https://www.seek.co.nz/job/71524786?type=standout&ref=search-standalone#sol=8fc0b5783852df5ecc662eb0dcb4516a24000ae0","2023-11-24T07:30:04.537Z"
"Manager Animal Control","Geneva Healthcare Ltd","We are on the lookout for someone with proven leadership skills to lead, mentor and direct our established Animal Control Team.","https://www.seek.co.nz/job/71744140?type=standout&ref=search-standalone#sol=3a9b9b67d6e8b26eae523c38b430b0fc4a06d812","2023-11-22T07:30:04.537Z"
"Support Worker | Whanganui","Founders Care Trust","Join us in providing cares and support to others in the community. Read on to APPLY!!","https://www.seek.co.nz/job/71748617?type=standout&ref=search-standalone#sol=bc54ce67953feb71d7e48f4a29a092ad005a1cc3","2023-11-24T07:30:04.537Z"
"Support Worker","Affco NZ","This job covers all the bases, great people to work with, caring employer, variety, rostered shifts, overtime, good pay, opportunity for training.","https://www.seek.co.nz/job/71691712?type=standard&ref=search-standalone#sol=f1fd879fc0d239724e373d39642414ab1d3dd40a","2023-11-23T07:30:04.537Z"
"Hostel Supervisor","DOWNER NZ","We have an exciting opportunity at our newly acquired worker accommodations located in Aramaho, at 64 Paterson Street.","https://www.seek.co.nz/job/71748435?type=standout&ref=search-standalone#sol=7ed2f8a25a2430c62a87f79ba809f066453a9821",
"Traffic Controller",,"Our Downer Whanganui team are looking for a Traffic Controller to join their team","https://www.seek.co.nz/job/71728865?type=standout&ref=search-standalone#sol=f48971f4310637a5d191022306c09cb8ef818eab",
"Graphic Designer in Marketing","Delfast","An exciting oppotunity to broaden your marketing experience and work with a well-respected family business.","https://www.seek.co.nz/job/71468698?type=promoted&ref=search-standalone#sol=037bdf5104d1ed0cd72ef44a918d05969d2f4ee8","2023-11-23T07:30:09.258Z"
"Truck Driver and Machine Operators","OneStaff Palmerston North","We have vacancies for Machine Operators and Class 2/4 Drivers based in Whanganui in the concrete team!","https://www.seek.co.nz/job/71186582?type=promoted&ref=search-standalone#sol=9a7c7af0ecf1c213b8826715eabc6eaa51fd6b86","2023-11-15T07:30:09.258Z"
"Manager, Community and Whānau Wellbeing - Mid-Central/Whanganui - NPHS","Te Whatu Ora - National Office","We have a permanent, full-time opportunity available to join our regional team as Manager, Community and Whānau Wellbeing - Mid-Central/Whanganui","https://www.seek.co.nz/job/71721376?type=standout&ref=search-standalone#sol=bed1eab49b27f783a09d20a208991dd81e37dd88","2023-11-23T07:30:09.258Z"
"Contract Administrator - Whanganui","Veolia","An exciting opportunity is presently available for a Contract Administrator to support our team based at our South Taranaki Contract.","https://www.seek.co.nz/job/71528898?type=standout&ref=search-standalone#sol=3e58bf96baa0cde8006f72cce3a09166df5ed16f","2023-11-20T07:30:09.258Z"
"MP Support Advisor for Carl Bates, MP","Parliamentary Service","Work at the heart of your community, in the office of Carl Bates, MP.","https://www.seek.co.nz/job/71728947?type=standout&ref=search-standalone#sol=3ee3ac61d3f0f4c3438da69c76971868e9e97266","2023-11-20T07:30:09.258Z"
"Team Leader Family Harm Prevention Programmes","Jigsaw Whanganui","Join an organisation where you are encouraged to bring your authentic self to work in this leadership role.","https://www.seek.co.nz/job/71627953?type=standout&ref=search-standalone#sol=1fdb738cb1b786f6c30865c320c9da6aaeb42ec6","2023-11-16T07:30:09.258Z"
"Housekeeper - Casual","Ryman Healthcare","Are you a warm and caring person who loves to help others? Jane Winstone Retirement Village in Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71631948?type=standout&ref=search-standalone#sol=25c999785aac925c8ddea1f8274eec4593d76c25","2023-11-23T07:30:09.258Z"
"Payroll Administrator","NetYourJob","Wight Aluminium are seeking a Payroll Administrator to join their team. Family owned business with training, support and progression opportunities.","https://www.seek.co.nz/job/71559273?type=standout&ref=search-standalone#sol=c9b628caca4c83543dcb9418ba5b42bef6602c8c","2023-11-13T07:30:09.258Z"
"Social Worker","Oranga Tamariki - Ministry for Children","2x Fulltime, permanent positions available! Position will be based at our Whangnui Site We're offering a competitive salary starting from $78,840 to $","https://www.seek.co.nz/job/71719524?type=standout&ref=search-standalone#sol=bc94e8b4356944ade8d6b44e4594a81fbb4eaaeb","2023-11-13T07:30:09.258Z"
"Support Worker - After School Hours","HealthCare NZ","You will be part of a team who will provide a safe environment where people can develop confidence and new skills, build friendships with peers.","https://www.seek.co.nz/job/71467554?type=standout&ref=search-standalone#sol=5547a77af04db6737107e58def38731b93895001","2023-11-15T07:30:09.258Z"
"Operations Supervisor","Veolia","We currently have a vacancy for a Whanganui based supervisor to join our awesome team","https://www.seek.co.nz/job/71462753?type=standout&ref=search-standalone#sol=ad474e4c151efe108719df2cf2bb6bb4c6c17e1f","2023-11-20T07:30:09.258Z"
"Delivery Driver","REUTERS CONSTRUCTION LIMITED","Part time delivery driver required with immediate start.","https://www.seek.co.nz/job/71523460?type=standard&ref=search-standalone#sol=bf1c98d380f47bca6f2ffd4ecae225859dcc4bb4","2023-11-09T07:30:09.258Z"
"Village Support Maintenance - Part Time","Ryman Healthcare","Are you a handyperson that loves to assist others? Jane Winstone Retirement Village in Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71630843?type=standout&ref=search-standalone#sol=d18dcbeae6a63424b27ea396a533d2d2a5636446","2023-11-15T07:30:09.258Z"
"Call Centre Operator","Randstad - Business Support","Call Centre role, Whanganui Central","https://www.seek.co.nz/job/71391218?type=standard&ref=search-standalone#sol=d5eecb533c059ca79c17968df164a43a4852b452","2023-11-09T07:30:09.258Z"
"Casual Kitchen Assistant","Summerset","Passionate about food? Keen to learn new skills? Join our supportive and friendly kitchen team at Summerset Wanganui as a Casual Kitchen Hand.","https://www.seek.co.nz/job/71527197?type=standout&ref=search-standalone#sol=993f6f4a185375b25289ad513c020b341072b6df","2023-11-24T07:30:09.258Z"
"Teacher Aide-Fixed Term","Arahunga Specialist School","We are looking for Teacher Aide's who is passionate about making a difference for learners who have learning challenges and complex needs.","https://www.seek.co.nz/job/71385890?type=standard&ref=search-standalone#sol=b604ef0cad9c8f5797bc9111bc8f6fe080e849f3","2023-11-21T07:30:09.258Z"
"Emergency Management Lead (District) - Whanganui","Te Whatu Ora - National Office","The purpose of this role is to lead the Emergency Management and response function for the district.","https://www.seek.co.nz/job/71746056?type=standout&ref=search-standalone#sol=e99bff89d74ecc0e4d6beec6658f28efb62a880b","2023-11-20T07:30:09.258Z"
"Menu Processor - Whanganui Hospital","Compass Group New Zealand","Permanent Full Time Menu Processor. Focus on ensuring patients receive the correct meals for their specific/ unique dietary requirements in hospital.","https://www.seek.co.nz/job/71663700?type=standout&ref=search-standalone#sol=a1dbe90cd48628916a9366717210ab65e5f691f8","2023-11-09T07:30:09.258Z"
"Cooks Assistant - Casual","Ryman Healthcare","Are you looking for a rewarding role with lots of opportunity for growth? Jane Winstone Retirement Village in Whanganui has an opportunity for you!","https://www.seek.co.nz/job/71633971?type=standout&ref=search-standalone#sol=57f0869262fda4767f084e338ec6359236a5dd0b","2023-11-23T07:30:09.258Z"
"Operations Manager","scalelogic","Be our Operational Dynamo! Join as the Operations Manager, where your work shapes our success daily. Make a difference and own your role!","https://www.seek.co.nz/job/71393002?type=standard&ref=search-standalone#sol=30e66dbf9224340210a9521802e4df78f3463790","2023-10-30T07:30:09.258Z"
"Director HR Operations - Whanganui, Mid-Central - People &amp; Communications","Te Whatu Ora - National Office","This is mahi that will improve the health and well-being of everyone in Aotearoa, and we've got an opportunity for you to be part of it&#8230;","https://www.seek.co.nz/job/71721438?type=standout&ref=search-standalone#sol=85a7cff5e3e9ae9908cf2c74e1cd9c66a04548b3",
"Chiropractic Assistant/ Receptionist",,"We are looking for a friendly, and motivated Chiropractic Assistant/ Receptionist to join our team","https://www.seek.co.nz/job/71115051?type=standard&ref=search-standalone#sol=8749857c659d341322af0ad35635a90d156677eb",
"Optical Assistant","Wanganui Eyecare","Take on a meaningful role as an Optical Assistant, working as part of our friendly team to provide exceptional customer service!","https://www.seek.co.nz/job/71682784?type=promoted&ref=search-standalone#sol=7fc52a4132bab4eef607162e67e4f3b1aeb43f39","2023-11-24T07:30:13.974Z"
"Team Leader Family Harm Prevention Programmes","Jigsaw Whanganui","Join an organisation where you are encouraged to bring your authentic self to work in this leadership role.","https://www.seek.co.nz/job/71627953?type=promoted&ref=search-standalone#sol=2ad274a55d530e87e9005a40abbdab95c1c8b619","2023-11-20T07:30:13.974Z"
"Radiologist","Pacific Radiology","Newly created branch with the latest hi-tech imaging machines, highly competitive remuneration package and providing a service to the community","https://www.seek.co.nz/job/71744000?type=standout&ref=search-standalone#sol=60356ce139322b85616cd44644bc1986dbf71382","2023-11-13T07:30:13.974Z"
"ISP Service Technician","DOWNER NZ","Join the Downer Telco team - you can be based either in Palmy or Whanganui!","https://www.seek.co.nz/job/71633713?type=standout&ref=search-standalone#sol=8cbb26e2bde0317250f3b14b9e1a98a4ae665404","2023-11-13T07:30:13.974Z"
"Graphic Designer in Marketing","Delfast","An exciting oppotunity to broaden your marketing experience and work with a well-respected family business.","https://www.seek.co.nz/job/71468698?type=standout&ref=search-standalone#sol=d9e54fa9a8557448569b514e94103eb2d5f3c9db","2023-11-10T07:30:13.974Z"
